Observation Year,Standard Week,Pest Value,MaxT,MinT,RH1(%),RH2(%),RF(mm),WS(kmph),SSH(hrs),EVP(mm),PEST NAME,Location
2008,18,0,40.2,21.8,49.4,22.6,4.3,5.2,10,9.6,Greenleafhopper,Ludhiana
2011,33,5,29.9,24,96,80.4,32.1,0,4.9,0,Whitebackedplanthopper,Ludhiana
2008,22,1085,37.1,25.6,84.3,48.6,12,1.6,8.2,6,Brownplanthopper,Maruteru
2000,47,0,31,14.4,80.4,34.9,0,1.6,9.1,3.5,Greenleafhopper,Rajendranagar
2010,49,408,26.3,18,82.6,57.3,10.6,3,8.7,3.9,Miridbug,Rajendranagar
2006,19,76,34.1,26.1,91.7,60.4,0,3,8.9,4.8,Greenleafhopper,Maruteru
1999,18,64,34.4,25.6,90.1,71,0,4.8,6.8,4.5,Whitebackedplanthopper,Maruteru
1995,10,0,35.1,19.8,75.7,32.6,0,5.4,10.7,5.5,Gallmidge,Rajendranagar
2008,12,63,28.6,21.9,91.3,71.6,114.6,5.4,3.4,3.7,Gallmidge,Maruteru
1998,37,4,32,23.5,88.3,70.3,55.8,3.7,5.7,4.6,Yellowstemborer,Ludhiana
2001,2,24,30.6,14.4,81.9,28.6,0,2.8,8.7,4.2,Greenleafhopper,Rajendranagar
1998,31,10,28.7,22.3,92.3,75.6,66.1,5.2,3.8,3.3,Gallmidge,Rajendranagar
2001,51,0,28.3,11.7,79,32,0,2.4,8.2,3.3,LeafFolder,Rajendranagar
1998,6,10,29.1,19.1,93.1,54,0,4.2,5.5,39.8,Miridbug,Maruteru
1997,22,14,34.4,24.4,85.1,75,38.6,3,6.1,25.6,Miridbug,Maruteru
2004,8,0,21.4,8.6,54.1,41,15.2,4.9,8.9,2.7,LeafBlast,Palampur
2007,51,0,29.7,15.4,79.1,38,0,4.4,7.6,4.9,Brownplanthopper,Rajendranagar
1998,6,23,31.4,18.2,82.4,35.9,0.8,3.4,9,4.6,Yellowstemborer,Rajendranagar
2000,11,0,26.5,10.2,88.7,34.4,0,4.5,10.4,4.6,Yellowstemborer,Ludhiana
1998,50,0,27.2,11.4,88.7,44.4,0,2.2,7.6,2.7,Brownplanthopper,Rajendranagar
1987,15,18,39.8,23.4,41.1,14,0,8,11.9,7.8,Yellowstemborer,Rajendranagar
1998,9,0,30.7,14.4,83,29.9,0,3.1,9.7,4.7,Gallmidge,Raipur
2010,5,8,28.6,16.6,89.1,63.6,7.3,3,8,2.8,LeafFolder,Maruteru
2006,46,7780,27.8,21.4,94.3,64.7,0,1.4,6.8,2.9,Greenleafhopper,Maruteru
1998,4,6,28.2,19.8,93.1,88.4,0,2.9,6.6,2.9,LeafFolder,Maruteru
2007,18,187,39.3,25.4,73,32,31,5.6,9,8.9,LeafFolder,Rajendranagar
1996,25,30,33.2,23.4,77.7,51,0,12.5,5.9,7.8,Greenleafhopper,Rajendranagar
2006,46,18,27.8,21.4,84.6,64.7,0,1.4,6.8,2.9,Gallmidge,Maruteru
2007,52,0,29.9,13.4,89.3,33.6,0,2,9,3.1,LeafFolder,Raipur
1999,50,0,26.8,9.7,91.3,34,0,2.2,8.3,2.9,Yellowstemborer,Raipur
2007,46,2275,29.4,11.7,85.9,25.9,0,3.4,8.6,5.1,Greenleafhopper,Rajendranagar
2000,46,378,29.8,19,80.8,59.5,0,3,6.5,3.4,Miridbug,Maruteru
2005,8,2885,35,24.6,88.7,61.3,0,3.7,7.5,4.6,Brownplanthopper,Maruteru
2007,38,29,27.9,23.1,93.4,79.6,53.6,5.9,1.5,3.8,LeafFolder,Rajendranagar
2009,33,365,32.3,26.7,85.9,69,27,1.9,4.3,4,ZigZagleafhopper,Maruteru
2010,16,6,40.8,25.7,67.1,29.7,0,4.9,9.4,9.4,Gallmidge,Rajendranagar
2007,11,130,28.6,21.9,86.4,55.3,0,5.9,8.6,3.4,LeafFolder,Maruteru
1998,34,6,31.1,23.1,94.9,70.9,116.3,1.8,6.5,3.7,Yellowstemborer,Rajendranagar
2011,27,0,34.2,26.5,88.4,61.7,26.8,0,6.7,0,Greenleafhopper,Ludhiana
2009,30,108,32.1,26.9,91.7,75.1,2,1.7,5.5,4.1,Brownplanthopper,Maruteru
2008,31,41,28.4,23.8,92.6,74.9,152.1,2.1,1,4,Greenleafhopper,Maruteru
2010,30,0,33.2,26.9,90.1,71.7,12.2,6.1,4.6,4.5,Whitebackedplanthopper,Ludhiana
2008,49,1100,29.3,11.9,88.9,29,0,2.1,7.9,3.3,Whitebackedplanthopper,Raipur
2000,31,0,33.6,24.1,77.1,50.7,2.7,2.6,8.3,5,Gallmidge,Rajendranagar
1999,38,169,31.2,24.6,88,72,0,3.7,5.3,3.3,Miridbug,Maruteru
1998,6,0,31.4,18.2,82.4,35.9,0.8,3.4,9,4.6,LeafBlast,Rajendranagar
1995,43,5430,29,19.9,82.9,59.6,11.2,2.5,6.9,3,Greenleafhopper,Rajendranagar
2011,8,1,31.3,19.1,81.7,39.9,0,0,0,0,Greenleafhopper,Rajendranagar
1998,11,4,32.8,18.4,74.7,38.7,6,5.3,9.3,6.3,Yellowstemborer,Raipur
2000,39,2797,32.5,22.6,92,61.7,7.4,2.2,6.3,3.5,Yellowstemborer,Raipur
2011,20,33,40.4,26.4,51.6,26.4,0,0,0,0,LeafFolder,Rajendranagar
1998,37,18,29.7,24.2,93.1,77.9,36.8,6.7,3.1,2.9,Yellowstemborer,Raipur
2011,5,0,30.8,12,89.4,34.9,0,0,0,0,Brownplanthopper,Rajendranagar
2009,47,9,28.9,22.9,91.1,69.3,16.9,1.6,4.7,3,Gallmidge,Maruteru
2000,45,14,31.3,16.2,83.7,38,0,2.1,9.4,4.1,Gallmidge,Rajendranagar
1991,14,0,36,22.4,62.4,22.9,0,3.9,9.1,5.3,LeafBlast,Rajendranagar
2002,11,19,31.8,20.1,87.1,58,0,5.9,7.5,3.4,Caseworm,Maruteru
2004,48,140,28.9,17.9,83.4,55.3,0,4.5,8.1,3.4,LeafFolder,Maruteru
1996,29,0,32.8,26.6,90,75,32.5,9.6,7.7,4.5,Yellowstemborer,Cuttack
2001,42,768,29.8,22.9,91.1,82.9,0,4.1,5.3,2.2,Yellowstemborer,Maruteru
2011,49,0,25.4,12.2,92.6,50.4,11.4,0,6,0,Gallmidge,Ludhiana
2002,51,2170,30.1,17.4,96.1,55.9,0,1.8,8.5,2.2,ZigZagleafhopper,Maruteru
2008,10,467,31.6,17,81.6,48,0,6,7.6,3.3,Greenleafhopper,Maruteru
2008,21,0,38.1,26.4,82.1,45.6,55,2.1,7.2,6.6,Whitebackedplanthopper,Maruteru
2007,11,0,21.7,11.2,92.9,56,36.8,6.9,7,2.7,Brownplanthopper,Ludhiana
2010,4,0,28,11.8,85.4,35.1,0,3.6,9.4,8.9,Brownplanthopper,Rajendranagar
1961,51,0,25.1,11.6,80,42.3,0,2.5,10.1,3.7,Gallmidge,Cuttack
2000,37,29595,32,23.7,89.6,74.7,0,4.9,5.7,3.6,Miridbug,Maruteru
1997,3,6,27.6,18.3,94.7,68,26,1.9,6.8,18.4,Gallmidge,Maruteru
1985,36,26,26,18,75.9,71.1,174.6,6.9,5.3,2.5,LeafBlast,Palampur
2001,24,0,30.2,22.7,84.3,64.6,96.4,9.1,2.6,3.8,Miridbug,Rajendranagar
2010,27,0,32.2,25.9,84.6,73.9,156.2,6.5,4.3,3.9,LeafFolder,Ludhiana
1998,14,7530,33.4,22.1,84.6,81.9,0,3.4,4.9,33.2,Yellowstemborer,Maruteru
1998,28,29,31.3,25.6,87,71.8,0,9.3,3.8,4.2,Whitebackedplanthopper,Maruteru
2000,8,1,26.7,14.6,89.1,56.3,23.6,4.3,6.2,3.7,Caseworm,Raipur
2002,17,0,42.4,25,46.3,15.6,3,7.7,9.4,13,Yellowstemborer,Raipur
2001,50,0,30.4,11.7,83,32.4,0,1.7,9.7,3.4,Gallmidge,Rajendranagar
2010,18,10,33.4,24.6,88.9,52.6,0,4.2,9.4,4.7,Gallmidge,Maruteru
1997,47,172,29.6,20.6,89.5,64,17.4,1.7,4.3,20.8,Greenleafhopper,Maruteru
2007,1,0,26.7,9.6,87.9,29.9,0,2.6,8.5,3.1,Brownplanthopper,Raipur
1996,18,17,43.4,25.8,33.6,12.7,0.6,6.1,10.2,12.7,Yellowstemborer,Raipur
1996,13,11510,32.7,21.9,92,64,0,1.6,7.3,21.1,Brownplanthopper,Maruteru
2011,7,0,19.7,10.7,92,74.1,35.6,0,4,0,Greenleafhopper,Ludhiana
2001,10,0,26.9,10.1,96,47.6,0,2.5,10.3,3.6,LeafFolder,Ludhiana
2003,36,0,27.3,23.8,92.9,86.1,61.1,12.2,0.4,2.1,Yellowstemborer,Raipur
1979,38,160,32.3,22.4,89.4,59.6,36.8,3.5,9.2,5.2,Yellowstemborer,Rajendranagar
1997,6,10,28.7,18.4,93,54,0,4.2,9,39.8,Miridbug,Maruteru
1968,40,8,29.8,25.1,92.9,81.7,134.4,9.5,2.4,2.3,Gallmidge,Cuttack
2011,51,861,27.1,17,86.5,59.5,0,0,2.7,0,Gallmidge,Maruteru
1997,30,0,30.1,23.8,92.6,79.9,217,7.1,3.2,3.7,Greenleafhopper,Raipur
2000,45,0,29.9,14.3,92.3,35,0,1.8,6.1,2.2,Yellowstemborer,Ludhiana
2004,19,17570,32.2,25.4,92.3,66.6,7.6,4.8,9.5,3.9,Brownplanthopper,Maruteru
2004,19,0,32.4,20.2,31.7,24.6,0,6,12.3,7,NeckBlast,Palampur
1996,36,0,30.1,22.4,92.5,75,41.6,3,5.4,25.6,Gallmidge,Maruteru
2002,46,6.3,29.9,15,85.7,36.7,0,2.9,7.7,3.3,LeafBlast,Rajendranagar
2002,18,1,34.7,24,85,58,0,4.1,9.3,5.5,LeafFolder,Maruteru
2009,25,0,40.8,24.6,49.9,22.4,0,6.9,12.9,13,Whitebackedplanthopper,Ludhiana
2000,36,4480,30.9,23.6,90.9,72.7,0,5.7,5.1,3.4,Miridbug,Maruteru
1986,10,0,33.3,19.8,66.7,31.1,0,6.4,10.5,6.6,LeafBlast,Rajendranagar
1998,38,70,29.6,22.5,91,65,122.2,3.4,5.2,3.6,Yellowstemborer,Rajendranagar
2009,7,222,30.2,20.8,90.3,39.9,0,1.7,8.8,2.5,Yellowstemborer,Maruteru
1993,42,13200,30.3,21.2,85.1,57.1,21.4,3.2,7.7,3.6,Gallmidge,Rajendranagar
2008,19,675,39,24.7,38.3,19.3,0,5.9,10.4,7.1,Greenleafhopper,Rajendranagar
2003,28,0,30.9,23,88.9,72.4,130.4,5.1,3.4,3.3,LeafBlast,Rajendranagar
1996,15,0,39,23.7,55.9,22,3.2,6.9,8.4,9.5,Greenleafhopper,Raipur
1995,13,0,33.4,20.5,89.9,60,0,6.7,8.6,28.4,LeafFolder,Maruteru
2010,39,48,31.2,21.9,87.6,67.6,87.2,4.2,6.4,6.3,Miridbug,Rajendranagar
2008,27,0,32.8,25.9,90.4,73.4,8.6,1.7,2.4,5.1,Gallmidge,Maruteru
2008,32,0,26.6,22.8,89.7,78.6,188.8,13.8,0.9,5.1,Gallmidge,Rajendranagar
2009,6,0,21.5,9.9,95,59.9,16.5,4.7,6.5,2.1,Brownplanthopper,Ludhiana
2009,27,5360,31.9,25.7,87.3,75.7,66.3,1.7,0.4,5.1,ZigZagleafhopper,Maruteru
2002,22,0,38.1,25,69.9,32.3,18.4,4.1,9.1,7.9,Yellowstemborer,Rajendranagar
2002,25,0,34.8,25.7,92.4,60.7,74.6,6.5,3.7,4.8,Gallmidge,Cuttack
1995,15,0,31.5,15.1,79.9,23,0,4,8.2,3.9,Gallmidge,Raipur
2008,2,152,26.3,18.6,85.3,55.9,0,2.6,8.6,2.8,Yellowstemborer,Maruteru
2007,20,0,40.3,27.2,42.9,19.7,0,9.2,10.5,9.9,Greenleafhopper,Rajendranagar
2000,47,0,32,13.7,85.9,27.7,0,2,9.4,3.8,Gallmidge,Raipur
2002,38,733,32.8,24.4,88.1,70.3,7.2,3.7,6.8,3.3,Miridbug,Maruteru
2004,30,13.45,27.5,19.5,89,79.6,237.4,3.8,4.3,3.4,LeafBlast,Palampur
2002,25,0,31.7,24.7,78.6,64.9,6.8,12,0.8,4.2,LeafFolder,Maruteru
2008,52,4,28.2,18.3,94.5,71,0,2.7,5.8,2.6,Gallmidge,Maruteru
2000,36,14685,30.9,23.6,90.9,72.7,0,5.7,5.1,3.4,Gallmidge,Maruteru
1961,28,0,29.5,25.2,90.4,83.7,44.7,5.6,0.7,2.1,Gallmidge,Cuttack
1986,9,0,18.9,7.4,54.1,37,0,5.7,9.4,3.1,LeafBlast,Palampur
2011,47,3,27.2,12.4,98.4,55.3,0,0,0.9,0,Brownplanthopper,Ludhiana
2010,28,0,34.3,26.9,87.4,63.4,140.8,4.2,7.6,4.2,LeafFolder,Ludhiana
1997,30,1,31.9,24.3,92.3,76,22.6,1.7,7.3,16.7,Miridbug,Maruteru
2011,4,0,28.7,18.4,85,50.3,0,0,8.8,0,Whitebackedplanthopper,Maruteru
2000,13,0,36.6,16.7,60.9,14.3,0,3.5,7.1,1,Gallmidge,Raipur
2003,4,5,28.6,19.1,97.6,84.1,0,2.6,6.7,2.3,Whitebackedplanthopper,Maruteru
2007,2,0,17.7,1.9,96.9,44.1,0,2.7,7.1,1.4,Brownplanthopper,Ludhiana
2000,26,337,30.9,24,83.6,79,0,8.9,3.9,4.3,Whitebackedplanthopper,Maruteru
